City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Najran,SA,17.4924,44.1277,59.65,30,0,1.77,clear sky
335,Griffith,US,41.5284,-87.4237,45.48,30,1,1.99,clear sky
336,Tabou,CI,4.423,-7.3528,80.53,79,6,8.97,clear sky
337,Hay River,CA,60.8156,-115.7999,-23.82,76,40,3.44,light snow
338,Beringovskiy,RU,63.05,179.3167,12.31,96,100,7.54,light snow
339,Narsaq,GL,60.9167,-46.05,41.22,75,100,12.53,overcast clouds
340,Wattegama,LK,6.7989,81.4808,74.32,94,3,0.76,clear sky
341,Brae,GB,60.3964,-1.353,37.31,66,76,23.4,broken clouds
342,Padang,ID,-0.9492,100.3543,77.05,88,100,1.28,light rain
343,Cidreira,BR,-30.1811,-50.2056,72.32,75,100,18.28,overcast clouds
344,Atasu,KZ,48.6814,71.6433,21.4,78,100,8.43,overcast clouds
